iter	Passed	Remaining
331	8352	1710
332	8377	1685
333	8400	1660
334	8423	1634
335	8446	1608
336	8466	1582
337	8488	1557
338	8511	1531
339	8533	1505
340	8556	1480
341	8584	1455
342	8608	1430
343	8630	1405
344	8663	1381
345	8685	1355
346	8708	1330
347	8730	1304
348	8754	1279
349	8774	1253
350	8794	1227
351	8813	1201
352	8835	1176
353	8859	1151
354	8880	1125
355	8901	1100
356	8924	1074
357	8948	1049
358	8974	1024
359	8997	999
360	9019	974
361	9041	949
362	9059	923
363	9079	898
364	9101	872
365	9123	847
366	9142	822
367	9173	797
368	9197	772
369	9222	747
370	9245	722
371	9268	697
372	9290	672
373	9317	647
374	9338	622
375	9361	597
376	9384	572
377	9406	547
378	9429	522
379	9452	497
380	9474	472
381	9498	447
382	9521	422
383	9547	397
384	9568	372
385	9591	347
386	9618	323
387	9641	298
388	9670	273
389	9696	248
390	9721	223
391	9746	198
392	9770	174
393	9803	149
394	9839	124
395	9873	99
396	9910	74
397	9949	49
398	9983	25
399	10014	0
